agent,profile,W,Hg,delta_guard,num_steps,num_valid_steps,num_seeds,window_violation_rate,peak_violation_rate,rate_diff,agent_guard_pass_rate,std_guard_pass_rate,guard_false_negative_rate,window_violation_with_guard_rate
pianoMPC,severe_left_weak,20,3,0.1,1040,945,5,0.9714285714285714,0.004232804232804233,0.9671957671957672,0.6571428571428571,0.9957671957671957,0.0010582010582010583,0.9671957671957672
pianoMPC,severe_left_weak,5,5,0.0,1057,1037,5,0.2757955641272903,0.3105110896817743,-0.03471552555448404,0.1253616200578592,0.6894889103182257,0.02507232401157184,0.15911282545805208
pianoMPC,severe_left_weak,10,5,0.0,1057,1012,5,0.48122529644268774,0.308300395256917,0.17292490118577075,0.12648221343873517,0.691699604743083,0.025691699604743084,0.32608695652173914
pianoMPC,severe_left_weak,20,5,0.0,1057,962,5,0.7567567567567568,0.3108108108108108,0.445945945945946,0.12162162162162163,0.6891891891891891,0.02598752598752599,0.5187110187110187
pianoMPC,severe_left_weak,5,5,0.05,1077,1057,5,0.5695364238410596,0.16367076631977295,0.40586565752128667,0.20056764427625354,0.836329233680227,0.02459791863765374,0.45411542100283825
pianoMPC,severe_left_weak,10,5,0.05,1077,1032,5,0.8284883720930233,0.16763565891472867,0.6608527131782946,0.2005813953488372,0.8323643410852714,0.025193798449612403,0.687015503875969
pianoMPC,severe_left_weak,20,5,0.05,1077,982,5,0.9806517311608961,0.1680244399185336,0.8126272912423624,0.19959266802443992,0.8319755600814664,0.025458248472505093,0.8197556008146639
pianoMPC,severe_left_weak,5,5,0.1,1055,1035,5,0.5710144927536231,0.0,0.5710144927536231,0.42995169082125606,1.0,0.0,0.5710144927536231
pianoMPC,severe_left_weak,10,5,0.1,1055,1010,5,0.8336633663366336,0.0,0.8336633663366336,0.4316831683168317,1.0,0.0,0.8336633663366336
pianoMPC,severe_left_weak,20,5,0.1,1055,960,5,0.9802083333333333,0.0,0.9802083333333333,0.4322916666666667,1.0,0.0,0.9802083333333333
pianoMPC,severe_left_weak,5,7,0.0,1061,1041,5,0.2814601344860711,0.40057636887608067,-0.11911623439000957,0.10662824207492795,0.5994236311239193,0.024015369836695485,0.14985590778097982
pianoMPC,severe_left_weak,10,7,0.0,1061,1016,5,0.49606299212598426,0.4005905511811024,0.09547244094488189,0.10531496062992125,0.5994094488188977,0.023622047244094488,0.2755905511811024
pianoMPC,severe_left_weak,20,7,0.0,1061,966,5,0.7432712215320911,0.39855072463768115,0.34472049689441,0.10351966873706005,0.6014492753623188,0.022774327122153208,0.43478260869565216
pianoMPC,severe_left_weak,5,7,0.05,1051,1031,5,0.5926285160038798,0.1988360814742968,0.393792434529583,0.19786614936954414,0.8011639185257032,0.02424830261881668,0.45489815712900095
pianoMPC,severe_left_weak,10,7,0.05,1051,1006,5,0.827037773359841,0.19284294234592445,0.6341948310139165,0.1978131212723658,0.8071570576540755,0.02286282306163022,0.6630218687872763
pianoMPC,severe_left_weak,20,7,0.05,1051,956,5,0.9539748953974896,0.19456066945606695,0.7594142259414226,0.19874476987447698,0.805439330543933,0.02405857740585774,0.7677824267782427
pianoMPC,severe_left_weak,5,7,0.1,1073,1053,5,0.5792972459639126,0.0,0.5792972459639126,0.2003798670465337,1.0,0.0,0.5792972459639126
pianoMPC,severe_left_weak,10,7,0.1,1073,1028,5,0.8365758754863813,0.0,0.8365758754863813,0.20038910505836577,1.0,0.0,0.8365758754863813
pianoMPC,severe_left_weak,20,7,0.1,1073,978,5,0.9795501022494888,0.0,0.9795501022494888,0.20143149284253578,1.0,0.0,0.9795501022494888
