param_name,scale,agent,metric,value_mean,value_std,n_seeds
eta_forget,0.3,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
eta_forget,0.3,autocurriculum,learn_slope,0.0,0.0,10
eta_forget,0.3,autocurriculum,ttm,600.0,0.0,10
eta_forget,0.3,bayesianmab,avg_fatigue,0.5226495555082554,0.056566800538108294,10
eta_forget,0.3,bayesianmab,feasible_rate,0.895486909142211,0.029769959267092104,10
eta_forget,0.3,bayesianmab,learn_slope,0.0018,0.0012,10
eta_forget,0.3,bayesianmab,ttm,65.5,21.003967879109574,10
eta_forget,0.3,ccb_df,avg_fatigue,0.546125562612732,0.026375487968638197,10
eta_forget,0.3,ccb_df,feasible_rate,0.90094296895168,0.03612554114383822,10
eta_forget,0.3,ccb_df,learn_slope,0.0007,0.0004,10
eta_forget,0.3,ccb_df,ttm,111.6,38.0005847908219,10
eta_forget,0.3,dqn,avg_fatigue,0.538216855864487,0.02925925833809402,10
eta_forget,0.3,dqn,feasible_rate,0.9165372571950983,0.037176021314445876,10
eta_forget,0.3,dqn,learn_slope,0.0007,0.0007,10
eta_forget,0.3,dqn,ttm,229.9,224.89575362820884,10
eta_forget,0.3,linucb,avg_fatigue,0.5597038296688908,0.005594667837224615,10
eta_forget,0.3,linucb,feasible_rate,0.97133643800529,0.00694110778919149,10
eta_forget,0.3,linucb,learn_slope,0.0001,0.0001,10
eta_forget,0.3,linucb,ttm,331.5,130.36721639703407,10
eta_forget,0.3,pianoMPC,avg_fatigue,0.5715002492712582,0.018062725249049966,10
eta_forget,0.3,pianoMPC,feasible_rate,0.8765821442377622,0.03900058070952895,10
eta_forget,0.3,pianoMPC,learn_slope,0.0031,0.0017,10
eta_forget,0.3,pianoMPC,ttm,47.1,10.50343859039611,10
eta_forget,0.3,safe_ac,avg_fatigue,0.536962500228468,0.03566474751716045,10
eta_forget,0.3,safe_ac,feasible_rate,0.9177140789364009,0.03929677342976077,10
eta_forget,0.3,safe_ac,learn_slope,0.0012,0.0007,10
eta_forget,0.3,safe_ac,ttm,80.3,25.342322966400168,10
eta_forget,0.3,thompson,avg_fatigue,0.5507822294498637,0.027433981331990282,10
eta_forget,0.3,thompson,feasible_rate,0.907888375370384,0.045351189949758626,10
eta_forget,0.3,thompson,learn_slope,0.0007,0.0007,10
