scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
transfer_x0.9,LinUCB,5,0.0010638132208764775,0.00128400436723772,0.5119309614026403,0.12042537868597801,0.03773394735855916,0.043856912927699894,0.9622660526414409,0.04385691292769968,55.53333333333333,8.273832019965095
transfer_x0.9,Thompson,5,0.0043716077396754845,0.0018551169657661669,0.49098574790600846,0.126030037258185,0.08814436139732638,0.033567960847803585,0.9118556386026736,0.03356796084780349,47.73333333333333,9.74001643867036
transfer_x1.1,PianoMPC,5,0.002379919897036629,0.0012700058729749207,0.48659372344919266,0.04757667123839408,0.09091977689231695,0.02103820815378648,0.909080223107683,0.021038208153786465,22.400000000000002,2.1656210494447725
transfer_x1.1,BayesianMAB,5,0.0033531258306693248,0.0030327738436869795,0.4130887242514531,0.09437586499708053,0.06360281920849574,0.04090234865714704,0.9363971807915042,0.040902348657146974,32.666666666666664,12.03034150826691
transfer_x1.1,CCB-DF,5,0.0036409127345674477,0.00259716957198178,0.4857182268850994,0.12591329786614544,0.08159770393672432,0.03428972308366909,0.9184022960632757,0.03428972308366932,47.666666666666664,8.046970373508728
transfer_x1.1,LinUCB,5,0.0006496132340785375,0.00040744724757085186,0.509475109613685,0.09590341969121374,0.0350293724082582,0.02579261685967289,0.9649706275917419,0.025792616859672882,40.0,16.7821842855669
transfer_x1.1,Thompson,5,0.0053094564313735685,0.0018687465950144623,0.48349174634099584,0.10082985208043796,0.0920618610220917,0.028373214843806407,0.9079381389779083,0.028373214843806376,35.800000000000004,20.345679311745947
transfer_x1.2,PianoMPC,5,0.002327004851929947,0.0033425534099160888,0.4785340641110423,0.04712576087646575,0.08129392330685802,0.07084454901714274,0.9187060766931419,0.07084454901714278,22.066666666666666,7.049584255500919
transfer_x1.2,BayesianMAB,5,0.0036425321411190266,0.003731533576575353,0.4134733302198634,0.0345010881437883,0.08369636356451772,0.07722680475485395,0.9163036364354822,0.07722680475485395,28.53333333333333,9.54805509635845
transfer_x1.2,CCB-DF,5,0.002528544598684587,0.0006365860480959413,0.46872798055516784,0.11073375893640747,0.055308834591117406,0.02310384397591809,0.9446911654088826,0.023103843975918047,39.53333333333333,10.728867786758814
transfer_x1.2,LinUCB,5,0.0007028069705927553,0.0016557434868643898,0.5036773217162016,0.09470410905434541,0.02782976692963113,0.042536539000035026,0.9721702330703689,0.042536539000035276,41.4,19.452558990340375
