scenario,agent,num_runs,guard_delta,safety_margin,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,time_to_mastery_mean,time_to_mastery_std
strict_delta005_margin008,CCB-DF,5,0.05,0.08,0.0018430230978247752,0.00013786021588512812,0.4501931177005461,0.10457477523093613,0.049452332239425016,0.023803934820112612,0.950547667760575,0.023803934820112643,0.2923729180381718,0.02522404508686884,0.3931701755515415,0.034498844894085896,45.73333333333333,17.749565220569682
strict_delta005_margin008,LinUCB,5,0.05,0.08,0.00011372193925674411,0.0002571462022899218,0.4498809632695057,0.10660435482896372,0.005051877004338804,0.015329581164937165,0.9949481229956613,0.01532958116493711,0.13878748259546972,0.025368718064574594,0.20875135405751855,0.042950560121566235,45.73333333333333,17.15554448408478
strict_delta005_margin008,Thompson,5,0.05,0.08,0.0021872212840429203,0.004165325623524614,0.45903955199877416,0.056382895411604045,0.05762096572028264,0.07470160282024779,0.9423790342797173,0.07470160282024783,0.24888431177698744,0.0025232332329332774,0.37185364952263256,0.11841889548318241,46.199999999999996,10.33831145584397
strict_delta005_margin008,Safe-AC,5,0.05,0.08,0.0020922998663330714,0.0001468620240929518,0.4511522382957968,0.10004721755457174,0.047892500486540784,0.032405505471215616,0.9521074995134592,0.032405505471215665,0.197012666926768,0.06427728974419344,0.32062046003362044,0.01453430176988345,44.4,14.96267721352567
strict_delta005_margin010,PianoMPC,5,0.05,0.1,0.0018164611079379675,0.0014097270819067962,0.48823829870135044,0.055350824618778785,0.06629687118319118,0.05734083133929346,0.9337031288168088,0.057340831339293574,0.00883050538222952,0.024305071581008707,0.31706019980177635,0.04894459474177224,27.066666666666666,2.7363127392938535
strict_delta005_margin010,BayesianMAB,5,0.05,0.1,0.0011967263699151362,0.001254958708407985,0.4046111545333531,0.13777875522680713,0.04422810127850977,0.038543707241010396,0.9557718987214902,0.03854370724101037,0.14514142682103465,0.04777986256302996,0.2855402162431643,0.046018036373871314,33.199999999999996,15.036729958925374
strict_delta005_margin010,CCB-DF,5,0.05,0.1,0.0032881742513092894,0.0016341475103597504,0.4605985058989129,0.11693623259790613,0.07528422382399365,0.03674857613098274,0.9247157761760062,0.03674857613098281,0.29454743637494035,0.008347570869259552,0.44830897278719095,0.010114003763324558,46.46666666666667,12.213606909037821
strict_delta005_margin010,LinUCB,5,0.05,0.1,0.00012119182832825944,3.1017048001710494e-05,0.42765173000819195,0.1400069435703051,0.006270198234216225,0.007251610783000025,0.9937298017657836,0.0072516107829998806,0.16819969341434624,0.059916944393869846,0.25838966411374037,0.0298738888139235,47.53333333333333,16.821360724720325
strict_delta005_margin010,Thompson,5,0.05,0.1,0.002569798018888575,0.0036607597992016905,0.45945261132093823,0.07852555318135444,0.0582530710317088,0.06644582373206322,0.9417469289682913,0.06644582373206342,0.23835218140237777,0.01625984325558259,0.3947791058047419,0.11662969137261259,42.4,7.886892729176378
strict_delta005_margin010,Safe-AC,5,0.05,0.1,0.0019835178365271116,0.0014166113547881118,0.4479431407653369,0.12922382454215586,0.05308735656266376,0.025587762884791643,0.9469126434373362,0.025587762884791775,0.19617285835516785,0.023628207575314895,0.3526787060715388,0.05721446770324091,41.4,6.57241060764698
relaxed_delta010_margin008,PianoMPC,5,0.1,0.08,0.001811750740036041,0.0032111867504690207,0.47161723202779665,0.06679808012954126,0.0698496414453699,0.055256731384544434,0.9301503585546301,0.05525673138454425,0.030398635555195435,0.021874297664720137,0.233081009457249,0.07653621077223594,25.0,5.7296947308375845
relaxed_delta010_margin008,BayesianMAB,5,0.1,0.08,0.004130157882465774,0.00036545309919422376,0.4151257442356014,0.03804747348212607,0.07894370240377499,0.028205759210387867,0.921056297596225,0.028205759210387735,0.14696379674160331,0.06712202374314319,0.2974073538346289,0.1321886819842645,34.0,7.760694303146035
relaxed_delta010_margin008,CCB-DF,5,0.1,0.08,0.007289873512815873,0.0026484675456353865,0.48583216768663967,0.12129162941504829,0.11490716768779548,0.011715748604370335,0.8850928323122046,0.011715748604370507,0.29222087089398197,0.029395533395248703,0.4492015785386945,0.07922986528730283,44.26666666666667,7.2396030174694515
relaxed_delta010_margin008,LinUCB,5,0.1,0.08,5.881199897799547e-05,6.567546753403667e-05,0.44297048608214434,0.10217262097278848,0.009215611127079939,0.015494302010027444,0.9907843888729202,0.015494302010027543,0.15206700451396,0.03756265455640943,0.21674960193061207,0.048777440048252546,44.6,9.478865379709845
relaxed_delta010_margin008,Thompson,5,0.1,0.08,0.008240893424827889,0.007717101468751248,0.49913518833843873,0.155440331360425,0.13303368533220902,0.10969757792128244,0.866966314667791,0.1096975779212825,0.2428966858365358,0.014478914901347444,0.45545399357059174,0.10829055229179885,41.86666666666667,9.689198614861965
relaxed_delta010_margin008,Safe-AC,5,0.1,0.08,0.0092315652814561,0.008115085366177884,0.4973676344203745,0.09463567825138143,0.141496341819977,0.07986933575397225,0.858503658180023,0.07986933575397218,0.1966732946759099,0.029567105669715026,0.4419777730003294,0.06748094841726476,41.06666666666667,11.927310708504855
